school;sex;age;address;famsize;Pstatus;Medu;Fedu;traveltime;studytime;failures;schoolsup;famsup;paid;activities;nursery;higher;internet;romantic;famrel;freetime;goout;Dalc;Walc;health;absences;G1;G2;G3;Mjob_health;Mjob_other;Mjob_services;Mjob_teacher;Fjob_health;Fjob_other;Fjob_services;Fjob_teacher;reason_home;reason_other;reason_reputation;guardian_mother;guardian_other
0;0;0.429;1;0;0;1.000;1.000;0.333;0.333;0.000;1;0;0;0;1;1;0;0;0.750;0.500;0.750;0.000;0.000;0.500;0.080;5;6;6;0;0;0;0;0;0;0;1;0;0;0;1;0
0;0;0.286;1;0;1;0.250;0.250;0.000;0.333;0.000;0;1;0;0;0;1;1;0;1.000;0.500;0.500;0.000;0.000;0.500;0.053;5;5;6;0;0;0;0;0;1;0;0;0;0;0;0;0
0;0;0.000;1;1;1;0.250;0.250;0.000;0.333;1.000;1;0;1;0;1;1;1;0;0.750;0.500;0.250;0.250;0.500;0.500;0.133;7;8;10;0;0;0;0;0;1;0;0;0;1;0;1;0
0;0;0.000;1;0;1;1.000;0.500;0.000;0.667;0.000;0;1;1;1;1;1;1;1;0.500;0.250;0.250;0.000;0.000;1.000;0.027;15;14;15;1;0;0;0;0;0;1;0;1;0;0;1;0
0;0;0.143;1;0;1;0.750;0.750;0.000;0.333;0.000;0;1;1;0;1;1;0;0;0.750;0.500;0.250;0.000;0.250;1.000;0.053;6;10;10;0;1;0;0;0;1;0;0;1;0;0;0;0
0;1;0.143;1;1;1;1.000;0.750;0.000;0.333;0.000;0;1;1;1;1;1;1;0;1.000;0.750;0.250;0.000;0.250;1.000;0.133;15;15;15;0;0;1;0;0;1;0;0;0;0;1;1;0
0;1;0.143;1;1;1;0.500;0.500;0.000;0.333;0.000;0;0;0;0;1;1;1;0;0.750;0.750;0.750;0.000;0.000;0.500;0.000;12;12;11;0;1;0;0;0;1;0;0;1;0;0;1;0
0;0;0.286;1;0;0;1.000;1.000;0.333;0.333;0.000;1;1;0;0;1;1;0;0;0.750;0.000;0.750;0.000;0.000;0.000;0.080;6;5;6;0;1;0;0;0;0;0;1;1;0;0;1;0
0;1;0.000;1;1;0;0.750;0.500;0.000;0.333;0.000;0;1;1;0;1;1;1;0;0.750;0.250;0.250;0.000;0.000;0.000;0.000;16;18;19;0;0;1;0;0;1;0;0;1;0;0;1;0
0;1;0.000;1;0;1;0.750;1.000;0.000;0.333;0.000;0;1;1;1;1;1;1;0;1.000;1.000;0.000;0.000;0.000;1.000;0.000;14;15;15;0;1;0;0;0;1;0;0;1;0;0;1;0
