school;sex;age;address;famsize;Pstatus;Medu;Fedu;traveltime;studytime;failures;schoolsup;famsup;paid;activities;nursery;higher;internet;romantic;famrel;freetime;goout;Dalc;Walc;health;absences;G1;G2;G3;Mjob_health;Mjob_other;Mjob_services;Mjob_teacher;Fjob_health;Fjob_other;Fjob_services;Fjob_teacher;reason_home;reason_other;reason_reputation;guardian_mother;guardian_other
0;0;1.023.046;1;0;0;1.143.856;1.360.371;0.792251;-0.042286;-0.449944;1;0;0;0;1;1;0;0;0.062194;-0.236010;0.801479;-0.540699;-1.003.789;-0.399289;0.036424;5;6;6;0;0;0;0;0;0;0;1;0;0;0;1;0
0;0;0.238380;1;0;1;-1.600.009;-1.399.970;-0.643249;-0.042286;-0.449944;0;1;0;0;0;1;1;0;1.178.860;-0.236010;-0.097908;-0.540699;-1.003.789;-0.399289;-0.213796;5;5;6;0;0;0;0;0;1;0;0;0;0;0;0;0
0;0;-1.330.954;1;1;1;-1.600.009;-1.399.970;-0.643249;-0.042286;3.589.323;1;0;1;0;1;1;1;0;0.062194;-0.236010;-0.997295;0.583385;0.551100;-0.399289;0.536865;7;8;10;0;0;0;0;0;1;0;0;0;1;0;1;0
0;0;-1.330.954;1;0;1;1.143.856;-0.479857;-0.643249;1.150.779;-0.449944;0;1;1;1;1;1;1;1;-1.054.472;-1.238.419;-0.997295;-0.540699;-1.003.789;1.041.070;-0.464016;15;14;15;1;0;0;0;0;0;1;0;1;0;0;1;0
0;0;-0.546287;1;0;1;0.229234;0.440257;-0.643249;-0.042286;-0.449944;0;1;1;0;1;1;0;0;0.062194;-0.236010;-0.997295;-0.540699;-0.226345;1.041.070;-0.213796;6;10;10;0;1;0;0;0;1;0;0;1;0;0;0;0
0;1;-0.546287;1;1;1;1.143.856;0.440257;-0.643249;-0.042286;-0.449944;0;1;1;1;1;1;1;0;1.178.860;0.766399;-0.997295;-0.540699;-0.226345;1.041.070;0.536865;15;15;15;0;0;1;0;0;1;0;0;0;0;1;1;0
0;1;-0.546287;1;1;1;-0.685387;-0.479857;-0.643249;-0.042286;-0.449944;0;0;0;0;1;1;1;0;0.062194;0.766399;0.801479;-0.540699;-1.003.789;-0.399289;-0.714236;12;12;11;0;1;0;0;0;1;0;0;1;0;0;1;0
0;0;0.238380;1;0;0;1.143.856;1.360.371;0.792251;-0.042286;-0.449944;1;1;0;0;1;1;0;0;0.062194;-2.240.828;0.801479;-0.540699;-1.003.789;-1.839.649;0.036424;6;5;6;0;1;0;0;0;0;0;1;1;0;0;1;0
0;1;-1.330.954;1;1;0;0.229234;-0.479857;-0.643249;-0.042286;-0.449944;0;1;1;0;1;1;1;0;0.062194;-1.238.419;-0.997295;-0.540699;-1.003.789;-1.839.649;-0.714236;16;18;19;0;0;1;0;0;1;0;0;1;0;0;1;0
0;1;-1.330.954;1;0;1;0.229234;1.360.371;-0.643249;-0.042286;-0.449944;0;1;1;1;1;1;1;0;1.178.860;1.768.808;-1.896.683;-0.540699;-1.003.789;1.041.070;-0.714236;14;15;15;0;1;0;0;0;1;0;0;1;0;0;1;0
0;0;-1.330.954;1;0;1;1.143.856;1.360.371;-0.643249;-0.042286;-0.449944;0;1;1;0;1;1;1;0;-1.054.472;-0.236010;-0.097908;-0.540699;-0.226345;-1.119.469;-0.714236;10;8;9;0;0;0;1;1;0;0;0;0;0;1;1;0
0;0;-1.330.954;1;0;1;-0.685387;-1.399.970;2.227.751;1.150.779;-0.449944;0;1;0;1;1;1;1;0;1.178.860;-1.238.419;-0.997295;-0.540699;-1.003.789;0.320890;-0.213796;10;12;12;0;0;1;0;0;1;0;0;0;0;1;0;0
0;1;-1.330.954;1;1;1;1.143.856;1.360.371;-0.643249;-1.235.351;-0.449944;0;1;1;1;1;1;1;0;0.062194;-0.236010;-0.097908;-0.540699;0.551100;1.041.070;-0.464016;14;14;14;1;0;0;0;0;0;1;0;0;0;0;0;0
0;1;-1.330.954;1;0;1;1.143.856;0.440257;0.792251;-0.042286;-0.449944;0;1;1;0;1;1;1;0;1.178.860;0.766399;-0.097908;-0.540699;-0.226345;-0.399289;-0.464016;10;10;11;0;0;0;1;0;1;0;0;0;0;0;1;0
0;1;-1.330.954;1;0;0;-0.685387;-0.479857;-0.643249;1.150.779;-0.449944;0;1;0;0;1;1;1;1;0.062194;1.768.808;-0.997295;-0.540699;-1.003.789;-0.399289;-0.714236;14;16;16;0;1;0;0;0;1;0;0;1;0;0;0;1
0;0;-0.546287;1;0;1;1.143.856;1.360.371;-0.643249;-1.235.351;-0.449944;0;1;0;0;1;1;1;0;0.062194;0.766399;0.801479;-0.540699;-0.226345;-1.119.469;-0.213796;14;14;14;1;0;0;0;0;1;0;0;1;0;0;1;0
0;0;-0.546287;1;0;1;1.143.856;1.360.371;-0.643249;1.150.779;-0.449944;0;1;1;1;1;1;1;0;-1.054.472;-1.238.419;-0.097908;-0.540699;-0.226345;-1.119.469;0.036424;13;14;14;0;0;1;0;0;0;1;0;0;0;1;1;0
0;0;-0.546287;1;0;1;0.229234;0.440257;2.227.751;-0.042286;-0.449944;1;1;0;1;1;1;0;0;1.178.860;-0.236010;-0.997295;-0.540699;-1.003.789;0.320890;-0.213796;8;10;10;0;1;0;0;0;1;0;0;0;0;1;1;0
0;1;0.238380;1;0;1;0.229234;-0.479857;-0.643249;-1.235.351;3.589.323;0;1;0;1;1;1;1;0;1.178.860;1.768.808;1.700.867;0.583385;1.328.545;1.041.070;1.287.526;6;5;5;0;0;1;0;0;0;1;0;0;0;0;1;0
0;1;-0.546287;1;1;1;1.143.856;0.440257;-0.643249;-1.235.351;-0.449944;0;0;1;1;1;1;1;0;-1.054.472;-2.240.828;-0.097908;-0.540699;0.551100;1.041.070;-0.213796;8;10;10;1;0;0;0;0;1;0;0;1;0;0;0;0
0;1;-1.330.954;1;0;1;1.143.856;0.440257;-0.643249;-0.042286;-0.449944;0;0;0;0;1;1;1;0;0.062194;0.766399;-1.896.683;-0.540699;-1.003.789;-1.839.649;-0.714236;13;14;15;0;0;0;1;0;1;0;0;0;0;1;1;0
0;1;-1.330.954;1;0;1;1.143.856;1.360.371;-0.643249;-1.235.351;-0.449944;0;1;1;0;1;1;1;0;1.178.860;0.766399;-0.997295;-0.540699;-1.003.789;1.041.070;-0.714236;12;15;15;1;0;0;0;1;0;0;0;0;1;0;0;0
0;1;-0.546287;1;1;1;1.143.856;-0.479857;-0.643249;-0.042286;-0.449944;0;0;0;1;1;1;1;0;0.062194;1.768.808;-1.896.683;-0.540699;0.551100;1.041.070;-0.464016;15;15;16;0;0;0;1;0;1;0;0;0;0;0;1;0
0;1;-0.546287;1;1;1;-0.685387;-0.479857;0.792251;-0.042286;-0.449944;0;1;0;1;1;1;1;0;1.178.860;0.766399;0.801479;0.583385;1.328.545;1.041.070;-0.714236;13;13;12;0;1;0;0;0;1;0;0;0;0;1;1;0
0;0;-1.330.954;0;0;1;-0.685387;1.360.371;-0.643249;1.150.779;-0.449944;1;1;1;1;1;1;1;0;0.062194;-0.236010;-0.997295;-0.540699;-1.003.789;1.041.070;-0.464016;10;9;8;0;0;1;0;1;0;0;0;0;0;0;1;0
0;0;-0.546287;1;0;1;-0.685387;-0.479857;-0.643249;-1.235.351;2.242.901;0;1;1;0;0;1;1;0;-3.287.804;-1.238.419;-0.997295;-0.540699;0.551100;1.041.070;1.037.305;6;9;8;0;0;1;0;0;0;1;0;1;0;0;1;0
0;1;-1.330.954;1;0;1;-0.685387;-0.479857;-0.643249;-1.235.351;-0.449944;0;1;1;0;1;1;1;0;0.062194;-1.238.419;-0.997295;-0.540699;-0.226345;1.041.070;-0.464016;12;12;11;0;1;0;0;0;1;0;0;1;0;0;1;0
0;1;-1.330.954;1;0;1;1.143.856;-0.479857;-0.643249;-1.235.351;-0.449944;0;0;1;0;1;1;1;0;-2.171.138;-1.238.419;0.801479;0.583385;1.328.545;-1.839.649;-0.213796;15;16;15;1;0;0;0;0;0;1;0;0;1;0;1;0
0;1;-0.546287;1;1;0;0.229234;1.360.371;-0.643249;-0.042286;-0.449944;1;1;0;1;1;1;1;0;1.178.860;-0.236010;-0.097908;-0.540699;-1.003.789;1.041.070;-0.213796;11;11;11;0;0;1;0;0;1;0;0;1;0;0;1;0
0;1;-0.546287;1;0;1;1.143.856;1.360.371;-0.643249;-0.042286;-0.449944;0;1;1;1;1;1;1;1;0.062194;0.766399;1.700.867;3.955.638;2.105.989;1.041.070;1.287.526;10;12;11;0;0;0;1;0;0;0;1;1;0;0;1;0
0;1;-1.330.954;1;0;1;1.143.856;1.360.371;-0.643249;-0.042286;-0.449944;0;1;1;0;0;1;1;0;1.178.860;0.766399;-0.997295;1.707.469;1.328.545;1.041.070;-0.714236;9;11;12;1;0;0;0;0;0;1;0;1;0;0;1;0
0;1;-1.330.954;1;0;1;1.143.856;1.360.371;0.792251;-0.042286;-0.449944;0;1;0;1;1;1;1;0;0.062194;-0.236010;-1.896.683;-0.540699;-1.003.789;1.041.070;-0.714236;17;16;17;0;0;1;0;0;0;1;0;0;0;1;1;0
0;1;-1.330.954;0;0;1;1.143.856;0.440257;-0.643249;-0.042286;-0.449944;0;1;0;1;1;1;1;1;0.062194;1.768.808;-0.997295;-0.540699;-1.003.789;1.041.070;-0.714236;17;16;16;0;0;0;1;0;0;0;0;0;0;0;1;0
0;1;-1.330.954;1;1;1;0.229234;0.440257;-0.643249;-0.042286;-0.449944;0;0;0;1;0;1;1;0;1.178.860;-0.236010;-0.997295;-0.540699;-1.003.789;-1.119.469;-0.714236;8;10;12;0;1;0;0;0;1;0;0;0;0;0;1;0
